beeid,season,weight_g
bimp01,Spring,0.616
bimp02,Spring,0.609
bimp03,Spring,0.623
bimp04,Spring,0.518
bimp05,Spring,0.684
bimp06,Spring,0.627
bimp08,Spring,0.576
bimp09,Spring,0.567
bimp10,Spring,0.608
bimp07,Spring,0.594
bimp11,Spring,0.663
bimp12,Spring,0.608
bimp14,Spring,0.59
bimp15,Spring,0.468
bimp16,Spring,0.621
bimp17,Spring,0.6
bimp19,Spring,0.694
bimp20,Spring,0.55
bimp21,Spring,0.572
bimp18,Spring,0.529
bimp24,Spring,0.64
bimp25,Spring,0.627
bimp26,Spring,0.682
bimp27,Spring,0.704
bimp28,Spring,0.627
bimp29,Spring,0.638
bimp30,Spring,0.671
bimp31,Spring,0.66
bimp32,Spring,0.564
bimp33,Spring,0.681
bimp34,Spring,0.555
bimp35,Spring,0.494
bimp37,Spring,0.517
bimp44,Spring,0.654
bimp45,Spring,0.523
bimp38,Spring,0.574
bimp39,Spring,0.51
bimp40,Spring,0.602
bimp41,Spring,0.614
bimp42,Spring,0.459
bimp43,Spring,0.709
bimp46,Spring,0.559
bimp47,Spring,0.585
bimp48,Spring,0.62
bimp49,Spring,0.657
bimp50,Spring,0.711
bimp51,Spring,0.544
bimp52,Spring,0.739
bimp53,Spring,0.67
bimp1,Fall,0.85
bimp2,Fall,0.766
bimp3,Fall,0.774
bimp4,Fall,0.582
bimp5,Fall,0.714
bimp6,Fall,0.799
bimp7,Fall,0.616
bimp8,Fall,0.873
bimp9,Fall,0.701
bimp10,Fall,0.852
bimp11,Fall,0.542
bimp12,Fall,0.731
bimp13,Fall,0.629
bimp14,Fall,0.716
bimp15,Fall,0.621
bimp16,Fall,0.64
bimp17,Fall,0.785
bimp18,Fall,0.801
bimp19,Fall,0.71
bimp20,Fall,0.68
