,beeid,datetime,time,thoraxtemp,second,minute,start_time,elapse_sec,elapse_min
1,d01,1/1/2010 19:42,19:42:16,15.88,0,0s,70936,0,0
2,d01,1/1/2010 19:42,19:42:48,20.17,32,32s,70936,32,0.533333333
3,d01,1/1/2010 19:43,19:43:16,23.06,28,28s,70936,60,1
4,d01,1/1/2010 19:43,19:43:46,24.63,30,30s,70936,90,1.5
5,d01,1/1/2010 19:44,19:44:16,25.85,30,30s,70936,120,2
6,d01,1/1/2010 19:44,19:44:48,27.07,32,32s,70936,152,2.533333333
7,d01,1/1/2010 19:45,19:45:20,28.37,32,32s,70936,184,3.066666667
8,d01,1/1/2010 19:45,19:45:46,29.35,26,26s,70936,210,3.5
9,d01,1/1/2010 19:46,19:46:16,30.19,30,30s,70936,240,4
10,d01,1/1/2010 19:46,19:46:46,31.49,30,30s,70936,270,4.5
11,d01,1/1/2010 19:47,19:47:17,33.3,31,31s,70936,301,5.016666667
12,d01,1/1/2010 19:47,19:47:47,35.45,30,30s,70936,331,5.516666667
13,d01,1/1/2010 19:48,19:48:16,36.87,29,29s,70936,360,6
14,d01,1/1/2010 19:48,19:48:47,39.07,31,31s,70936,391,6.516666667
15,d01,1/1/2010 19:49,19:49:17,33.87,30,30s,70936,421,7.016666667
16,d01,1/1/2010 19:49,19:49:48,33.79,31,31s,70936,452,7.533333333
17,d01,1/1/2010 19:50,19:50:17,33.52,29,29s,70936,481,8.016666667
18,d01,1/1/2010 19:51,19:51:16,42.68,59,59s,70936,540,9
19,d01,1/1/2010 19:51,19:51:48,40.91,32,32s,70936,572,9.533333333
20,d01,1/1/2010 19:52,19:52:16,40.44,28,28s,70936,600,10
21,d02,1/1/2010 19:53,19:53:55,18.68,0,0s,71635,0,0
22,d02,1/1/2010 19:54,19:54:41,22.19,46,46s,71635,46,0.766666667
23,d02,1/1/2010 19:54,19:54:53,22.45,12,12s,71635,58,0.966666667
24,d02,1/1/2010 19:55,19:55:24,24.27,31,31s,71635,89,1.483333333
25,d02,1/1/2010 19:55,19:55:53,25.69,29,29s,71635,118,1.966666667
26,d02,1/1/2010 19:56,19:56:28,27.39,35,35s,71635,153,2.55
27,d02,1/1/2010 19:56,19:56:53,28.8,25,25s,71635,178,2.966666667
28,d02,1/1/2010 19:57,19:57:24,30.22,31,31s,71635,209,3.483333333
29,d02,1/1/2010 19:57,19:57:54,30.52,30,30s,71635,239,3.983333333
30,d02,1/1/2010 19:58,19:58:23,34.83,29,29s,71635,268,4.466666667
31,d02,1/1/2010 19:58,19:58:53,36.01,30,30s,71635,298,4.966666667
32,d02,1/1/2010 19:59,19:59:24,37.27,31,31s,71635,329,5.483333333
33,d02,1/1/2010 19:59,19:59:54,38.68,30,30s,71635,359,5.983333333
34,d02,1/1/2010 20:00,20:00:23,36.28,29,29s,71635,388,6.466666667
35,d02,1/1/2010 20:01,20:01:01,38.56,38,38s,71635,426,7.1
36,d02,1/1/2010 20:01,20:01:23,37.34,22,22s,71635,448,7.466666667
37,d02,1/1/2010 20:01,20:01:53,37.82,30,30s,71635,478,7.966666667
38,d02,1/1/2010 20:02,20:02:24,38.95,31,31s,71635,509,8.483333333
39,d02,1/1/2010 20:02,20:02:54,36.88,30,30s,71635,539,8.983333333
40,d02,1/1/2010 20:03,20:03:23,38.45,29,29s,71635,568,9.466666667
41,d02,1/1/2010 20:03,20:03:54,38.04,31,31s,71635,599,9.983333333
42,d03,1/1/2010 20:05,20:05:30,13.78,0,0s,72330,0,0
43,d03,1/1/2010 20:06,20:06:01,18.55,31,31s,72330,31,0.516666667
44,d03,1/1/2010 20:06,20:06:32,20.67,31,31s,72330,62,1.033333333
45,d03,1/1/2010 20:07,20:07:01,22.66,29,29s,72330,91,1.516666667
46,d03,1/1/2010 20:07,20:07:31,25.27,30,30s,72330,121,2.016666667
47,d03,1/1/2010 20:08,20:08:01,26.09,30,30s,72330,151,2.516666667
48,d03,1/1/2010 20:08,20:08:31,27.78,30,30s,72330,181,3.016666667
49,d03,1/1/2010 20:09,20:09:05,29.03,34,34s,72330,215,3.583333333
50,d03,1/1/2010 20:09,20:09:32,29.05,27,27s,72330,242,4.033333333
51,d03,1/1/2010 20:10,20:10:01,30.03,29,29s,72330,271,4.516666667
52,d03,1/1/2010 20:10,20:10:32,34.57,31,31s,72330,302,5.033333333
53,d03,1/1/2010 20:11,20:11:01,38.16,29,29s,72330,331,5.516666667
54,d03,1/1/2010 20:11,20:11:31,41.19,30,30s,72330,361,6.016666667
55,d03,1/1/2010 20:12,20:12:01,40.42,30,30s,72330,391,6.516666667
56,d03,1/1/2010 20:12,20:12:32,36.28,31,31s,72330,422,7.033333333
57,d03,1/1/2010 20:13,20:13:01,38.53,29,29s,72330,451,7.516666667
