"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"1","q01",2010-01-01 20:16:49,20:16:49,16.63,0,0s,73009,0,0
"2","q01",2010-01-01 20:17:23,20:17:23,21.33,34,34s,73009,34,0.566666666666667
"3","q01",2010-01-01 20:17:53,20:17:53,22.93,30,30s,73009,64,1.06666666666667
"4","q01",2010-01-01 20:18:20,20:18:20,23.37,27,27s,73009,91,1.51666666666667
"5","q01",2010-01-01 20:18:50,20:18:50,23.88,30,30s,73009,121,2.01666666666667
"6","q01",2010-01-01 20:19:20,20:19:20,25.07,30,30s,73009,151,2.51666666666667
"7","q01",2010-01-01 20:19:50,20:19:50,25.88,30,30s,73009,181,3.01666666666667
"8","q01",2010-01-01 20:20:20,20:20:20,26.2,30,30s,73009,211,3.51666666666667
"9","q01",2010-01-01 20:20:50,20:20:50,26.67,30,30s,73009,241,4.01666666666667
"10","q01",2010-01-01 20:21:20,20:21:20,26.88,30,30s,73009,271,4.51666666666667
"11","q01",2010-01-01 20:21:50,20:21:50,26.63,30,30s,73009,301,5.01666666666667
"12","q01",2010-01-01 20:22:20,20:22:20,27.2,30,30s,73009,331,5.51666666666667
"13","q01",2010-01-01 20:22:50,20:22:50,28.35,30,30s,73009,361,6.01666666666667
"14","q01",2010-01-01 20:23:20,20:23:20,28.68,30,30s,73009,391,6.51666666666667
"15","q01",2010-01-01 20:23:51,20:23:51,29,31,31s,73009,422,7.03333333333333
"16","q01",2010-01-01 20:24:21,20:24:21,29.66,30,30s,73009,452,7.53333333333333
"17","q01",2010-01-01 20:24:50,20:24:50,33.16,29,29s,73009,481,8.01666666666667
"18","q01",2010-01-01 20:25:21,20:25:21,34.98,31,31s,73009,512,8.53333333333333
"19","q01",2010-01-01 20:25:50,20:25:50,37.08,29,29s,73009,541,9.01666666666667
"20","q01",2010-01-01 20:26:22,20:26:22,39.27,32,32s,73009,573,9.55
"21","q01",2010-01-01 20:26:50,20:26:50,39.71,28,28s,73009,601,10.0166666666667
"22","q02",2010-01-01 20:28:29,20:28:29,16.79,0,0s,73709,0,0
"23","q02",2010-01-01 20:29:00,20:29:00,20.11,31,31s,73709,31,0.516666666666667
"24","q02",2010-01-01 20:29:29,20:29:29,20.03,29,29s,73709,60,1
"25","q02",2010-01-01 20:30:00,20:30:00,20.6,31,31s,73709,91,1.51666666666667
"26","q02",2010-01-01 20:30:30,20:30:30,22.6,30,30s,73709,121,2.01666666666667
"27","q02",2010-01-01 20:31:00,20:31:00,22.16,30,30s,73709,151,2.51666666666667
"28","q02",2010-01-01 20:32:04,20:32:04,24.27,64,64s (~1.07 minutes),73709,215,3.58333333333333
