beeid,season,time,elapse_min,timestamp,thoraxtemp,weight_g,elapse_min_n
bimp01,Spring,17:18:40,0:00:00,0,16.65,0.616,0
bimp01,Spring,17:19:39,0:00:59,1,19.82,0.616,0.983333333
bimp01,Spring,17:20:39,0:01:59,2,21.8,0.616,1.983333333
bimp01,Spring,17:21:44,0:03:04,3,19.56,0.616,3.066666667
bimp01,Spring,17:22:39,0:03:59,4,23.15,0.616,3.983333333
bimp01,Spring,17:23:39,0:04:59,5,24.04,0.616,4.983333333
bimp01,Spring,17:24:39,0:05:59,6,26.63,0.616,5.983333333
bimp01,Spring,17:25:39,0:06:59,7,27.4,0.616,6.983333333
bimp01,Spring,17:26:40,0:08:00,8,29.32,0.616,8
bimp01,Spring,17:27:39,0:08:59,9,31.43,0.616,8.983333333
bimp01,Spring,17:28:40,0:10:00,10,34.51,0.616,10
bimp02,Spring,18:32:56,0:00:00,0,17.09,0.609,0
bimp02,Spring,18:33:56,0:01:00,1,19.59,0.609,1
bimp02,Spring,18:34:25,0:01:29,2,20.51,0.609,1.483333333
bimp02,Spring,18:35:55,0:02:59,3,24.76,0.609,2.983333333
bimp02,Spring,18:36:55,0:03:59,4,25.41,0.609,3.983333333
bimp02,Spring,18:37:56,0:05:00,5,26.33,0.609,5
bimp02,Spring,18:38:55,0:05:59,6,27.73,0.609,5.983333333
bimp02,Spring,18:39:56,0:07:00,7,28.16,0.609,7
bimp02,Spring,18:40:55,0:07:59,8,30.11,0.609,7.983333333
bimp02,Spring,18:41:55,0:08:59,9,33.31,0.609,8.983333333
bimp02,Spring,18:42:55,0:09:59,10,36.62,0.609,9.983333333
bimp03,Spring,18:09:19,0:00:00,0,17.2,0.623,0
bimp03,Spring,18:10:19,0:01:00,1,18.93,0.623,1
bimp03,Spring,18:11:19,0:02:00,2,20.81,0.623,2
bimp03,Spring,18:12:19,0:03:00,3,24.73,0.623,3
bimp03,Spring,18:13:19,0:04:00,4,25.97,0.623,4
bimp03,Spring,18:14:21,0:05:02,5,25.64,0.623,5.033333333
bimp03,Spring,18:15:19,0:06:00,6,26.58,0.623,6
bimp03,Spring,18:16:20,0:07:01,7,27.58,0.623,7.016666667
bimp03,Spring,18:17:19,0:08:00,8,27.45,0.623,8
bimp03,Spring,18:18:20,0:09:01,9,31.5,0.623,9.016666667
bimp03,Spring,18:19:19,0:10:00,10,33.07,0.623,10
bimp04,Spring,17:44:14,0:00:00,0,20.56,0.518,0
bimp04,Spring,17:45:14,0:01:00,1,21.94,0.518,1
bimp04,Spring,17:46:14,0:02:00,2,24.01,0.518,2
bimp04,Spring,17:47:14,0:03:00,3,25.55,0.518,3
bimp04,Spring,17:48:13,0:03:59,4,25.69,0.518,3.983333333
bimp04,Spring,17:49:14,0:05:00,5,27.67,0.518,5
bimp04,Spring,17:50:14,0:06:00,6,27.67,0.518,6
bimp04,Spring,17:51:13,0:06:59,7,28.59,0.518,6.983333333
bimp04,Spring,17:52:14,0:08:00,8,29.5,0.518,8
bimp04,Spring,17:53:14,0:09:00,9,29.51,0.518,9
bimp04,Spring,17:54:14,0:10:00,10,29.87,0.518,10
bimp05,Spring,18:32:56,0:00:00,0,21.59,0.684,0
bimp05,Spring,18:33:55,0:00:59,1,21.36,0.684,0.983333333
bimp05,Spring,18:34:54,0:01:58,2,23.07,0.684,1.966666667
bimp05,Spring,18:35:55,0:02:59,3,25.78,0.684,2.983333333
bimp05,Spring,18:36:54,0:03:58,4,26.38,0.684,3.966666667
bimp05,Spring,18:37:55,0:04:59,5,26.38,0.684,4.983333333
bimp05,Spring,18:38:55,0:05:59,6,28.47,0.684,5.983333333
bimp05,Spring,18:39:56,0:07:00,7,29.11,0.684,7
bimp05,Spring,18:40:25,0:07:29,8,29.86,0.684,7.483333333
bimp05,Spring,18:41:55,0:08:59,9,30.34,0.684,8.983333333
bimp05,Spring,18:43:01,0:10:05,10,29.22,0.684,10.08333333
bimp06,Spring,18:09:20,0:00:00,0,16.04,0.627,0
bimp06,Spring,18:10:20,0:01:00,1,18.2,0.627,1
bimp06,Spring,18:11:20,0:02:00,2,19.69,0.627,2
bimp06,Spring,18:12:20,0:03:00,3,24.61,0.627,3
bimp06,Spring,18:13:20,0:04:00,4,25.23,0.627,4
bimp06,Spring,18:14:21,0:05:01,5,24.32,0.627,5.016666667
bimp06,Spring,18:15:20,0:06:00,6,23.43,0.627,6
bimp06,Spring,18:16:20,0:07:00,7,28.24,0.627,7
bimp06,Spring,18:17:20,0:08:00,8,27.91,0.627,8
bimp06,Spring,18:18:20,0:09:00,9,31.31,0.627,9
bimp06,Spring,18:19:20,0:10:00,10,31.71,0.627,10
bimp08,Spring,19:36:18,0:00:00,0,14.78,0.576,0
bimp08,Spring,19:37:18,0:01:00,1,18.52,0.576,1
bimp08,Spring,19:38:18,0:02:00,2,20.76,0.576,2
bimp08,Spring,19:39:18,0:03:00,3,23.5,0.576,3
bimp08,Spring,19:40:18,0:04:00,4,24.41,0.576,4
bimp08,Spring,19:41:18,0:05:00,5,25.48,0.576,5
bimp08,Spring,19:42:18,0:06:00,6,26.07,0.576,6
bimp08,Spring,19:43:18,0:07:00,7,27.23,0.576,7
bimp08,Spring,19:44:18,0:08:00,8,28,0.576,8
bimp08,Spring,19:45:18,0:09:00,9,28.5,0.576,9
bimp08,Spring,19:46:18,0:10:00,10,30.16,0.576,10
bimp09,Spring,19:36:18,0:00:00,0,14.78,0.567,0
bimp09,Spring,19:37:18,0:01:00,1,18.52,0.567,1
bimp09,Spring,19:38:18,0:02:00,2,20.76,0.567,2
bimp09,Spring,19:39:18,0:03:00,3,23.5,0.567,3
bimp09,Spring,19:40:18,0:04:00,4,24.41,0.567,4
bimp09,Spring,19:41:18,0:05:00,5,25.48,0.567,5
bimp09,Spring,19:42:18,0:06:00,6,26.07,0.567,6
bimp09,Spring,19:43:18,0:07:00,7,27.23,0.567,7
bimp09,Spring,19:44:18,0:08:00,8,28,0.567,8
bimp09,Spring,19:45:18,0:09:00,9,28.5,0.567,9
bimp09,Spring,19:46:18,0:10:00,10,30.16,0.567,10
bimp10,Spring,20:31:40,0:00:00,0,14.51,0.608,0
bimp10,Spring,20:32:41,0:01:01,1,17.46,0.608,1.016666667
bimp10,Spring,20:33:40,0:02:00,2,22.3,0.608,2
bimp10,Spring,20:34:40,0:03:00,3,23.67,0.608,3
bimp10,Spring,20:36:10,0:04:30,4,25.76,0.608,4.5
bimp10,Spring,20:36:40,0:05:00,5,25.85,0.608,5
bimp10,Spring,20:37:40,0:06:00,6,27.11,0.608,6
bimp10,Spring,20:38:40,0:07:00,7,28.32,0.608,7
bimp10,Spring,20:39:40,0:08:00,8,29.37,0.608,8
bimp10,Spring,20:40:40,0:09:00,9,30.77,0.608,9
bimp10,Spring,20:41:40,0:10:00,10,33.88,0.608,10
bimp07,Spring,13:02:11,0:00:00,0,13.8,0.594,0
bimp07,Spring,13:03:11,0:01:00,1,14.9,0.594,1
bimp07,Spring,13:04:11,0:02:00,2,20.19,0.594,2
bimp07,Spring,13:05:11,0:03:00,3,22.32,0.594,3
bimp07,Spring,13:06:11,0:04:00,4,23.63,0.594,4
bimp07,Spring,13:07:11,0:05:00,5,26.36,0.594,5
bimp07,Spring,13:08:11,0:06:00,6,28.12,0.594,6
bimp07,Spring,13:09:11,0:07:00,7,29.82,0.594,7
bimp07,Spring,13:10:11,0:08:00,8,34.22,0.594,8
bimp07,Spring,13:11:11,0:09:00,9,35.95,0.594,9
bimp07,Spring,13:12:11,0:10:00,10,35.4,0.594,10
bimp11,Spring,16:44:36,0:00:00,0,18.15,0.663,0
bimp11,Spring,16:45:37,0:01:01,1,20.64,0.663,1.016666667
bimp11,Spring,16:46:36,0:02:00,2,23.01,0.663,2
bimp11,Spring,16:47:36,0:03:00,3,24.43,0.663,3
bimp11,Spring,16:48:36,0:04:00,4,25.46,0.663,4
bimp11,Spring,16:49:36,0:05:00,5,27.91,0.663,5
bimp11,Spring,16:50:36,0:06:00,6,28.57,0.663,6
bimp11,Spring,16:51:36,0:07:00,7,30.67,0.663,7
bimp11,Spring,16:52:36,0:08:00,8,33.6,0.663,8
bimp11,Spring,16:53:36,0:09:00,9,37.16,0.663,9
bimp11,Spring,16:54:36,0:10:00,10,39.01,0.663,10
bimp12,Spring,17:12:39,0:00:00,0,16.06,0.608,0
bimp12,Spring,17:13:39,0:01:00,1,18.38,0.608,1
bimp12,Spring,17:14:39,0:02:00,2,21.45,0.608,2
bimp12,Spring,17:15:39,0:03:00,3,22.76,0.608,3
bimp12,Spring,17:16:39,0:04:00,4,25,0.608,4
bimp12,Spring,17:17:40,0:05:01,5,26.24,0.608,5.016666667
bimp12,Spring,17:18:39,0:06:00,6,27.95,0.608,6
bimp12,Spring,17:19:40,0:07:01,7,31.43,0.608,7.016666667
bimp12,Spring,17:20:39,0:08:00,8,35.72,0.608,8
bimp12,Spring,17:21:39,0:09:00,9,40.18,0.608,9
bimp12,Spring,17:22:39,0:10:00,10,41.11,0.608,10
bimp14,Spring,16:42:04,0:00:00,0,14.78,0.59,0
bimp14,Spring,16:43:04,0:01:00,1,17.56,0.59,1
bimp14,Spring,16:44:03,0:01:59,2,21.01,0.59,1.983333333
bimp14,Spring,16:45:03,0:02:59,3,23.37,0.59,2.983333333
bimp14,Spring,16:46:03,0:03:59,4,25.29,0.59,3.983333333
bimp14,Spring,16:47:03,0:04:59,5,26.24,0.59,4.983333333
bimp14,Spring,16:48:04,0:06:00,6,21.66,0.59,6
bimp14,Spring,16:49:03,0:06:59,7,26.69,0.59,6.983333333
bimp14,Spring,16:50:03,0:07:59,8,27.72,0.59,7.983333333
bimp14,Spring,16:51:02,0:08:58,9,31.23,0.59,8.966666667
bimp14,Spring,16:52:03,0:09:59,10,33.8,0.59,9.983333333
bimp15,Spring,16:07:34,0:00:00,0,15.86,0.468,0
bimp15,Spring,16:08:33,0:00:59,1,20.36,0.468,0.983333333
bimp15,Spring,16:09:34,0:02:00,2,22.66,0.468,2
bimp15,Spring,16:10:33,0:02:59,3,25.14,0.468,2.983333333
bimp15,Spring,16:11:35,0:04:01,4,25.75,0.468,4.016666667
bimp15,Spring,16:12:33,0:04:59,5,26.73,0.468,4.983333333
bimp15,Spring,16:13:33,0:05:59,6,27.61,0.468,5.983333333
bimp15,Spring,16:14:34,0:07:00,7,29.07,0.468,7
bimp15,Spring,16:15:33,0:07:59,8,29.37,0.468,7.983333333
bimp15,Spring,16:16:33,0:08:59,9,31.72,0.468,8.983333333
bimp15,Spring,16:17:33,0:09:59,10,33.1,0.468,9.983333333
bimp16,Spring,17:27:12,0:00:00,0,18.15,0.621,0
bimp16,Spring,17:28:11,0:00:59,1,21.6,0.621,0.983333333
bimp16,Spring,17:29:11,0:01:59,2,24.11,0.621,1.983333333
bimp16,Spring,17:30:11,0:02:59,3,23.13,0.621,2.983333333
bimp16,Spring,17:31:11,0:03:59,4,24.06,0.621,3.983333333
bimp16,Spring,17:32:10,0:04:58,5,27.25,0.621,4.966666667
bimp16,Spring,17:33:11,0:05:59,6,27.7,0.621,5.983333333
bimp16,Spring,17:34:11,0:06:59,7,28.67,0.621,6.983333333
bimp16,Spring,17:35:11,0:07:59,8,29.81,0.621,7.983333333
bimp16,Spring,17:36:11,0:08:59,9,32.69,0.621,8.983333333
bimp16,Spring,17:37:11,0:09:59,10,36.42,0.621,9.983333333
bimp17,Spring,17:55:38,0:00:00,0,13.1,0.6,0
bimp17,Spring,17:56:38,0:01:00,1,17.47,0.6,1
bimp17,Spring,17:57:38,0:02:00,2,21.23,0.6,2
bimp17,Spring,17:58:38,0:03:00,3,23.66,0.6,3
bimp17,Spring,17:59:38,0:04:00,4,25.03,0.6,4
bimp17,Spring,18:00:38,0:05:00,5,26.07,0.6,5
bimp17,Spring,18:01:38,0:06:00,6,26.88,0.6,6
bimp17,Spring,18:02:38,0:07:00,7,27.69,0.6,7
bimp17,Spring,18:03:38,0:08:00,8,28.03,0.6,8
bimp17,Spring,18:04:38,0:09:00,9,29.47,0.6,9
bimp17,Spring,18:05:38,0:10:00,10,32.15,0.6,10
bimp19,Spring,17:19:46,0:00:00,0,15.64,0.694,0
bimp19,Spring,17:20:45,0:00:59,1,18.59,0.694,0.983333333
bimp19,Spring,17:21:45,0:01:59,2,21.45,0.694,1.983333333
bimp19,Spring,17:22:46,0:03:00,3,23.57,0.694,3
bimp19,Spring,17:23:46,0:04:00,4,24.67,0.694,4
bimp19,Spring,17:24:47,0:05:01,5,25.6,0.694,5.016666667
bimp19,Spring,17:25:45,0:05:59,6,26.52,0.694,5.983333333
bimp19,Spring,17:26:45,0:06:59,7,26.82,0.694,6.983333333
bimp19,Spring,17:27:45,0:07:59,8,27.43,0.694,7.983333333
bimp19,Spring,17:28:45,0:08:59,9,28.53,0.694,8.983333333
bimp19,Spring,17:29:45,0:09:59,10,30.25,0.694,9.983333333
bimp20,Spring,17:19:45,0:00:00,0,15.52,0.55,0
bimp20,Spring,17:20:45,0:01:00,1,18.99,0.55,1
bimp20,Spring,17:21:44,0:01:59,2,21.39,0.55,1.983333333
bimp20,Spring,17:22:46,0:03:01,3,24.08,0.55,3.016666667
bimp20,Spring,17:23:45,0:04:00,4,25.33,0.55,4
bimp20,Spring,17:24:46,0:05:01,5,26.51,0.55,5.016666667
bimp20,Spring,17:25:45,0:06:00,6,27.71,0.55,6
bimp20,Spring,17:26:45,0:07:00,7,30.14,0.55,7
bimp20,Spring,17:27:45,0:08:00,8,36.18,0.55,8
bimp20,Spring,17:28:45,0:09:00,9,37.28,0.55,9
