"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"1","w01",2010-01-07 18:17:53,18:17:53,18.5,0,0s,65873,0,0
"2","w01",2010-01-07 18:18:30,18:18:30,21.48,37,37s,65873,37,0.616666666666667
"3","w01",2010-01-07 18:18:53,18:18:53,22.61,23,23s,65873,60,1
"4","w01",2010-01-07 18:19:24,18:19:24,24.55,31,31s,65873,91,1.51666666666667
"5","w01",2010-01-07 18:19:57,18:19:57,25.33,33,33s,65873,124,2.06666666666667
"6","w01",2010-01-07 18:20:23,18:20:23,26.53,26,26s,65873,150,2.5
"7","w01",2010-01-07 18:20:54,18:20:54,26.73,31,31s,65873,181,3.01666666666667
"8","w01",2010-01-07 18:21:23,18:21:23,27.54,29,29s,65873,210,3.5
"9","w01",2010-01-07 18:21:54,18:21:54,28.46,31,31s,65873,241,4.01666666666667
"10","w01",2010-01-07 18:22:23,18:22:23,28.83,29,29s,65873,270,4.5
"11","w01",2010-01-07 18:22:53,18:22:53,28.97,30,30s,65873,300,5
"12","w01",2010-01-07 18:23:24,18:23:24,29.39,31,31s,65873,331,5.51666666666667
"13","w01",2010-01-07 18:23:55,18:23:55,30.17,31,31s,65873,362,6.03333333333333
"14","w01",2010-01-07 18:24:24,18:24:24,29.92,29,29s,65873,391,6.51666666666667
"15","w01",2010-01-07 18:24:53,18:24:53,30.23,29,29s,65873,420,7
"16","w01",2010-01-07 18:25:26,18:25:26,30.67,33,33s,65873,453,7.55
"17","w01",2010-01-07 18:25:55,18:25:55,30.29,29,29s,65873,482,8.03333333333333
"18","w01",2010-01-07 18:26:25,18:26:25,30.38,30,30s,65873,512,8.53333333333333
"19","w01",2010-01-07 18:26:54,18:26:54,30.7,29,29s,65873,541,9.01666666666667
"20","w01",2010-01-07 18:27:23,18:27:23,31.25,29,29s,65873,570,9.5
"21","w01",2010-01-07 18:27:53,18:27:53,30.96,30,30s,65873,600,10
"22","w02",2010-01-07 18:28:56,18:28:56,13.69,0,0s,66536,0,0
"23","w02",2010-01-07 18:29:28,18:29:28,19.34,32,32s,66536,32,0.533333333333333
"24","w02",2010-01-07 18:29:59,18:29:59,21.5,31,31s,66536,63,1.05
"25","w02",2010-01-07 18:30:26,18:30:26,23.32,27,27s,66536,90,1.5
"26","w02",2010-01-07 18:30:58,18:30:58,23.9,32,32s,66536,122,2.03333333333333
"27","w02",2010-01-07 18:31:27,18:31:27,25.44,29,29s,66536,151,2.51666666666667
"28","w02",2010-01-07 18:31:56,18:31:56,26.44,29,29s,66536,180,3
"29","w02",2010-01-07 18:32:26,18:32:26,27.53,30,30s,66536,210,3.5
